"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Nederland",9.6,6,20.9
"Gemeente: Amsterdam",10,7.2,25.3
NA,NA,NA,NA
"AMC",9.7,9.5,NA
"Aalsmeerwegbuurt Oost",6.3,4.3,22.3
"Aalsmeerwegbuurt West",5.4,3.6,24.6
"Afrikahaven",NA,NA,NA
"Alexanderplein e.o.",3,2.1,10.2
"Alfa-driehoek",NA,NA,NA
"Amerikahaven",NA,NA,NA
"Amstel III deel A/B Noord",4.1,4.1,NA
"Amstel III deel A/B Zuid",2,2,NA
"Amstel III deel C/D Noord",2.9,3,NA
"Amstel III deel C/D Zuid",NA,NA,NA
"Amstelglorie",3.8,1.9,9.2
"Amstelkwartier Noord",2.1,1.9,11.1
"Amstelkwartier West",1.7,1.6,6.3
"Amstelkwartier Zuid",10.5,2.7,22.5
"Amstelpark",4.8,NA,NA
"Amstelveldbuurt",4.4,2.8,11
"Amsterdamse Bos",4.4,3.1,7.9
"Amsterdamse Poort",18.1,14,42.4
"Andreasterrein",9.5,6.8,26.4
"Anjeliersbuurt Noord",6.7,4,17.2
"Anjeliersbuurt Zuid",7.7,5,17.8
"Architectenbuurt",9.3,7.4,18.5
"BG-terrein e.o.",4.4,3.1,13.3
"Baanakkerspark Noord",8.9,5.1,18
"Baanakkerspark Zuid",9.7,5.1,17.3
"Balboaplein e.o.",10.6,8.2,35.3
"Banne Noordoost",15,12.4,24.7
"Banne Noordwest",16.5,13,32.4
"Banne Zuidoost",12.4,8.6,27.7
"Banne Zuidwest",17.1,13.1,34.1
"Banpleinbuurt",4.6,2.2,9.8
"Beatrixpark",NA,NA,NA
"Bedrijvencentrum Osdorp",NA,NA,NA
"Bedrijvencentrum Westerkwartier",4.4,2.7,NA
"Bedrijvengebied Cruquiusweg",2.9,2.8,NA
"Bedrijvengebied Veelaan",6.3,4.4,NA
"Bedrijvengebied Zeeburgerkade",5,2.2,14.1
"Bedrijvenpark Lutkemeer",5.4,2.8,17
"Bedrijventerrein Hamerstraat",4,3.1,19.2
"Bedrijventerrein Landlust",3.7,2.5,22.9
"Bedrijventerrein Nieuwendammerdijk",4.9,4.7,NA
"Bedrijventerrein Schinkel",3.8,2.5,16.7
"Bedrijventerrein Sloterdijk I",10.6,10.6,NA
"Beethovenbuurt",7.1,2.2,21.1
"Begijnhofbuurt",7.3,3.8,23.2
"Belgiëplein e.o.",14.9,6.6,32.6
"Bellamybuurt Noord",7.5,5.2,24.5
"Bellamybuurt Zuid",6.4,4.7,23.2
"Bertelmanpleinbuurt",13.7,9.2,28.4
"Betondorp",15.8,10.4,29.3
"Bijlmermuseum Noord",22.6,17.6,37.9
"Bijlmermuseum Zuid",15,12.4,36.8
"Blauwe Zand",15.8,11.3,30.1
"Bloemenbuurt Noord",14.8,10.8,29.3
"Bloemenbuurt Zuid",17.6,13.5,34.6
"Bloemgrachtbuurt",6.8,4,19
"Borgerbuurt",16.9,11.3,32.9
"Borneo",5.7,4.8,16
"Bosleeuw",12.9,10.1,36.7
"Bretten Oost",NA,NA,NA
"Bretten West",NA,NA,NA
"Buiksloterbreek",4,2.2,9.5
"Buiksloterdijk Oost",4.8,2.1,8.9
"Buiksloterdijk West",4.2,1.8,9.7
"Buiksloterham",6.6,5.7,20.5
"Buikslotermeer Noord",10.9,5.3,26.7
"Buikslotermeerplein",18.6,8.1,39
"Buiteneiland",NA,NA,NA
"Buitenveldert Midden Zuid",7.3,4.3,23.1
"Buitenveldert Oost Midden",14.3,8.1,27.1
"Buitenveldert West Midden",10.3,3.3,21.4
"Buitenveldert Zuidoost",7.8,4.3,20.2
"Buitenveldert Zuidwest",12.2,4.5,27.4
"Burgemeester Tellegenbuurt Oost",12.2,8.6,28.4
"Burgemeester Tellegenbuurt West",13.3,9.2,28.5
"Burgwallen Oost",5.3,3.6,18.2
"Buurt 10",10.3,7.6,20.6
"Buurt 2",15.3,13.5,29.6
"Buurt 3",15.5,12.5,33.6
"Buurt 4 Oost",14,10.6,30.5
"Buurt 5 Noord",19.5,16.9,37.6
"Buurt 5 Zuid",17.4,14.3,35
"Buurt 6",17.7,15,34.4
"Buurt 7",13.4,9.2,32.2
"Buurt 8",14.2,11.5,41.7
"Buurt 9",16.9,13.5,36.5
"Buyskade e.o.",7.8,5.5,24.8
"Calandlaan/Lelylaan",15.3,12.1,25.6
"Centrumeiland",1.6,1.6,NA
"Circus/Kermisbuurt",9.6,7.9,19.5
"Coenhaven/Mercuriushaven",4.5,2.7,NA
"Columbusplein e.o.",11.9,9.3,31.6
"Concertgebouwbuurt",4.3,2.4,11.4
"Cornelis Douwesterrein",NA,NA,NA
"Cornelis Schuytbuurt",4,2.3,11.1
"Cornelis Troostbuurt",7.6,4.5,28
"Cremerbuurt Oost",4.5,3.1,20.1
"Cremerbuurt West",5.3,3.7,21.9
"Czaar Peterbuurt",8.2,6.3,26
"D-buurt",5.6,5,35.5
"Da Costabuurt Noord",6.3,3.9,20.7
"Da Costabuurt Zuid",5.6,3.9,22.4
"Dapperbuurt Noord",12.9,8.4,33.9
"Dapperbuurt Zuid",11.8,8.7,31
"De Aker Oost",8.2,6.1,20.9
"De Aker West",8.6,5.7,22.7
"De Bongerd",7,6.5,18.7
"De Eenhoorn",2.7,2.4,21.4
"De Heining",6.4,3.6,NA
"De Kleine Wereld",20.6,16.4,33.6
"De Klenckebuurt",8.6,4.3,17.6
"De Omval",4.2,2.2,11.5
"De Punt",12.7,8.8,31.2
"De Wester Quartier",11.8,9.5,30.4
"De Wetbuurt",11,6.1,25.9
"De Wittenbuurt Noord",8.4,6.1,23
"De Wittenbuurt Zuid",11.6,8.5,22.2
"Delflandpleinbuurt Oost",10.7,8.6,28.3
"Delflandpleinbuurt West",9.3,6.7,33.6
