"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Nederland",33.4,28.8,47.1
"Gemeente: Amsterdam",32.8,28.9,52.6
NA,NA,NA,NA
"AMC",51.6,50.4,NA
"Aalsmeerwegbuurt Oost",30,26.9,50.7
"Aalsmeerwegbuurt West",28.2,25.7,52.5
"Afrikahaven",NA,NA,NA
"Alexanderplein e.o.",27.8,25.3,46.1
"Alfa-driehoek",NA,NA,NA
"Amerikahaven",NA,NA,NA
"Amstel III deel A/B Noord",22.3,22.3,NA
"Amstel III deel A/B Zuid",22.1,22.1,NA
"Amstel III deel C/D Noord",23.8,23.3,NA
"Amstel III deel C/D Zuid",NA,NA,NA
"Amstelglorie",27.4,23.5,42.4
"Amstelkwartier Noord",24.3,23.3,45.7
"Amstelkwartier West",22.8,22.3,45.3
"Amstelkwartier Zuid",26.6,22.4,NA
"Amstelpark",28.5,NA,NA
"Amstelveldbuurt",29.6,25.6,46.5
"Amsterdamse Bos",32.4,26.3,45.9
"Amsterdamse Poort",40.7,36.7,60.6
"Andreasterrein",31.3,27.5,53.5
"Anjeliersbuurt Noord",33,28.6,49.4
"Anjeliersbuurt Zuid",35.4,30.8,50.9
"Architectenbuurt",36.1,32.2,50.9
"BG-terrein e.o.",29.8,26.8,48.8
"Baanakkerspark Noord",31.4,26.2,46.4
"Baanakkerspark Zuid",35.1,28.8,46.5
"Balboaplein e.o.",32.4,29.7,57.9
"Banne Noordoost",37.5,33.6,52.5
"Banne Noordwest",37.6,33.8,55.8
"Banne Zuidoost",35.4,30.7,52.6
"Banne Zuidwest",36,31.7,53.7
"Banpleinbuurt",30.9,23.8,46
"Beatrixpark",NA,NA,NA
"Bedrijvencentrum Osdorp",NA,NA,NA
"Bedrijvencentrum Westerkwartier",30.2,28.3,NA
"Bedrijvengebied Cruquiusweg",23.4,22.8,41.2
"Bedrijvengebied Veelaan",36.4,31.3,46.4
"Bedrijvengebied Zeeburgerkade",27.6,24.4,46.8
"Bedrijvenpark Lutkemeer",28.9,25.9,NA
"Bedrijventerrein Hamerstraat",25.2,24.1,50.6
"Bedrijventerrein Landlust",24.8,23.3,49.7
"Bedrijventerrein Nieuwendammerdijk",28.1,25,NA
"Bedrijventerrein Schinkel",23.1,22,40
"Bedrijventerrein Sloterdijk I",31.1,30.4,NA
"Beethovenbuurt",29.1,24,46.6
"Begijnhofbuurt",30.5,25.9,52.4
"Belgiëplein e.o.",37.9,29.7,53.3
"Bellamybuurt Noord",31.7,28.5,53.7
"Bellamybuurt Zuid",30.5,27.8,53.7
"Bertelmanpleinbuurt",40,34.6,56.2
"Betondorp",41.9,36.6,55.2
"Bijlmermuseum Noord",42.8,36.7,59.4
"Bijlmermuseum Zuid",35.2,32.1,55.9
"Blauwe Zand",39.7,34.8,54.5
"Bloemenbuurt Noord",39.2,34.5,55.5
"Bloemenbuurt Zuid",40.7,36.5,56.8
"Bloemgrachtbuurt",32,27.5,51.1
"Borgerbuurt",41.3,35.7,55.4
"Borneo",29.7,27.3,49.8
"Bosleeuw",33.5,30.1,58.9
"Bretten Oost",NA,NA,NA
"Bretten West",NA,NA,NA
"Buiksloterbreek",30.9,24.6,44.4
"Buiksloterdijk Oost",29.9,23.4,42.2
"Buiksloterdijk West",27,21.5,42.4
"Buiksloterham",29.5,27.6,55.2
"Buikslotermeer Noord",33,26.9,50.4
"Buikslotermeerplein",39.4,32.9,54.1
"Buiteneiland",NA,NA,NA
"Buitenveldert Midden Zuid",30,26.3,49.8
"Buitenveldert Oost Midden",37.5,31.4,51.5
"Buitenveldert West Midden",34.1,26.3,47.9
"Buitenveldert Zuidoost",30.6,25.9,47.9
"Buitenveldert Zuidwest",35.1,27.1,51
"Burgemeester Tellegenbuurt Oost",38,33.6,56.6
"Burgemeester Tellegenbuurt West",39,33.6,56.2
"Burgwallen Oost",29.1,26.5,49.6
"Buurt 10",34.4,29.6,49.2
"Buurt 2",36.8,33.9,56.7
"Buurt 3",35.8,32.4,54.9
"Buurt 4 Oost",34.2,29.8,54.8
"Buurt 5 Noord",38.7,35.3,58.6
"Buurt 5 Zuid",36,32.6,56.1
"Buurt 6",38.5,35,57.1
"Buurt 7",32.2,27.2,54.9
"Buurt 8",34,31.1,57.6
"Buurt 9",35.6,31.8,56.4
"Buyskade e.o.",31.1,27.9,53
"Calandlaan/Lelylaan",41.6,36.9,55.6
"Centrumeiland",25.5,24.3,48.5
"Circus/Kermisbuurt",34.1,30.9,50
"Coenhaven/Mercuriushaven",19.6,19.5,NA
"Columbusplein e.o.",35.2,32.2,56.5
"Concertgebouwbuurt",28.2,24,44.8
"Cornelis Douwesterrein",NA,NA,NA
"Cornelis Schuytbuurt",27.8,23.6,45.2
"Cornelis Troostbuurt",30.3,26.7,53.4
"Cremerbuurt Oost",28,25.8,50.6
"Cremerbuurt West",29.4,26.8,52.6
"Czaar Peterbuurt",33,30.1,55.3
"D-buurt",25,24.1,60
"Da Costabuurt Noord",30.7,26.9,51.7
"Da Costabuurt Zuid",29.3,26.9,52.5
"Dapperbuurt Noord",35.5,30.6,57.3
"Dapperbuurt Zuid",35.1,31.2,57.2
"De Aker Oost",31.7,28.1,50.6
"De Aker West",31.9,28.1,49.6
"De Bongerd",27.1,25.7,50.3
"De Eenhoorn",25.9,24.8,55.3
"De Heining",33.6,28.7,NA
"De Kleine Wereld",40.6,35.6,54.8
"De Klenckebuurt",33.1,26.3,48.4
"De Omval",28.6,23.7,46.3
"De Punt",32.7,28.3,53.9
"De Wester Quartier",33.9,30.7,55.7
"De Wetbuurt",35.9,30.1,52.8
"De Wittenbuurt Noord",33.2,29.4,54
"De Wittenbuurt Zuid",39.7,35,52.2
"Delflandpleinbuurt Oost",28.8,26.6,56.1
"Delflandpleinbuurt West",28.9,26.4,56
"Den Texbuurt",29.8,25.3,47.6
"Diamantbuurt",38.3,33.5,56.8
"Diepenbrockbuurt",27.9,22.7,44.3
"Don Bosco",31.1,26.9,50.5
"Dorp Driemond",31.5,27.3,45.6
"Dorp Sloten",32,27.5,45.8
"Drieburg",NA,NA,NA
"Driehoekbuurt",33.4,29.3,51.8
"Duivelseiland",28.8,26.3,51.2
"Durgerdam",27.2,23.3,39.3
"E-buurt",26.9,26,53.3
"Ecowijk",33.6,30.5,49.6
"Eendrachtspark",32.7,31,48.8
"Elandsgrachtbuurt",33.6,28.9,51.2
