"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Nederland",69,72,60
"Gemeente: Amsterdam",66.8,69.6,52.2
NA,NA,NA,NA
"AMC",48.6,49.8,NA
"Aalsmeerwegbuurt Oost",72.6,75.1,55.9
"Aalsmeerwegbuurt West",74.3,76.6,51.8
"Afrikahaven",NA,NA,NA
"Alexanderplein e.o.",76.5,77.7,67.8
"Alfa-driehoek",NA,NA,NA
"Amerikahaven",NA,NA,NA
"Amstel III deel A/B Noord",73.3,73.3,NA
"Amstel III deel A/B Zuid",72.1,72.1,NA
"Amstel III deel C/D Noord",75.7,75.3,NA
"Amstel III deel C/D Zuid",NA,NA,NA
"Amstelglorie",79,80.9,72.2
"Amstelkwartier Noord",78.3,78.6,69.8
"Amstelkwartier West",75.7,75.9,67.6
"Amstelkwartier Zuid",73.1,75,NA
"Amstelpark",71.1,NA,NA
"Amstelveldbuurt",76.8,78.6,69.1
"Amsterdamse Bos",74.3,75.9,70.8
"Amsterdamse Poort",51.5,55.2,32.9
"Andreasterrein",69.7,72.9,51
"Anjeliersbuurt Noord",71.2,74,60.5
"Anjeliersbuurt Zuid",68.1,71.2,57.6
"Architectenbuurt",68,69.9,60.6
"BG-terrein e.o.",72,73.9,59.9
"Baanakkerspark Noord",70.4,72.8,63.2
"Baanakkerspark Zuid",70,72.7,65.3
"Balboaplein e.o.",65.1,67.8,39.4
"Banne Noordoost",58.6,60.6,50.6
"Banne Noordwest",56.2,58.7,44.4
"Banne Zuidoost",63.4,66.8,50.8
"Banne Zuidwest",58.6,61.4,47
"Banpleinbuurt",78,81.2,71.3
"Beatrixpark",NA,NA,NA
"Bedrijvencentrum Osdorp",NA,NA,NA
"Bedrijvencentrum Westerkwartier",73.6,74.8,NA
"Bedrijvengebied Cruquiusweg",80,80.1,76.1
"Bedrijvengebied Veelaan",71.6,74.7,65.2
"Bedrijvengebied Zeeburgerkade",74,76,62.6
"Bedrijvenpark Lutkemeer",74.5,77,NA
"Bedrijventerrein Hamerstraat",72.1,72.7,58.5
"Bedrijventerrein Landlust",75.9,77.3,52.1
"Bedrijventerrein Nieuwendammerdijk",78.1,78.4,NA
"Bedrijventerrein Schinkel",74.9,75,73.5
"Bedrijventerrein Sloterdijk I",68.1,68.8,NA
"Beethovenbuurt",77.5,81.1,65
"Begijnhofbuurt",70.3,73.6,54.8
"Belgiëplein e.o.",62.8,69.9,49.2
"Bellamybuurt Noord",69.5,72.3,50.4
"Bellamybuurt Zuid",70.6,73,49.7
"Bertelmanpleinbuurt",59.2,64.1,44.6
"Betondorp",57.7,62.4,45.6
"Bijlmermuseum Noord",48.6,53.2,36.1
"Bijlmermuseum Zuid",57.8,60.2,41.3
"Blauwe Zand",59.4,62.7,49.2
"Bloemenbuurt Noord",60.1,64,46.5
"Bloemenbuurt Zuid",56.2,59.4,43.7
"Bloemgrachtbuurt",71.3,74.5,57.8
"Borgerbuurt",56.5,61.2,44.8
"Borneo",75.5,77.1,62.5
"Bosleeuw",62,65.3,37
"Bretten Oost",NA,NA,NA
"Bretten West",NA,NA,NA
"Buiksloterbreek",79.9,83.6,72.1
"Buiksloterdijk Oost",82,85.9,74.6
"Buiksloterdijk West",82.4,85,75.1
"Buiksloterham",71.3,72.6,52.7
"Buikslotermeer Noord",66.4,70.1,55.9
"Buikslotermeerplein",57.1,62.4,45.1
"Buiteneiland",NA,NA,NA
"Buitenveldert Midden Zuid",70.8,73.3,57.2
"Buitenveldert Oost Midden",62.5,66.7,53.1
"Buitenveldert West Midden",70.2,75.8,60.3
"Buitenveldert Zuidoost",70.8,73.5,61.1
"Buitenveldert Zuidwest",67.5,74.4,53.9
"Burgemeester Tellegenbuurt Oost",61.3,65.3,44.5
"Burgemeester Tellegenbuurt West",60.1,64.7,45.4
"Burgwallen Oost",70.8,72.1,60
"Buurt 10",65.9,68.3,58.5
"Buurt 2",55.6,57.7,41.4
"Buurt 3",58.8,61.2,45.2
"Buurt 4 Oost",61.6,64.9,46
"Buurt 5 Noord",51.7,54.4,35.5
"Buurt 5 Zuid",56.7,59.3,41.3
"Buurt 6",53.5,55.9,40.9
"Buurt 7",62.9,66.7,45.8
"Buurt 8",58.9,61.3,39
"Buurt 9",56.6,59.7,39.9
"Buyskade e.o.",70.9,73.5,52.7
"Calandlaan/Lelylaan",56.9,59.3,49.7
"Centrumeiland",76.3,77.4,54.5
"Circus/Kermisbuurt",66.6,68.4,57.1
"Coenhaven/Mercuriushaven",72.5,72.5,NA
"Columbusplein e.o.",62.3,65.2,42.4
"Concertgebouwbuurt",77.7,79.6,69.9
"Cornelis Douwesterrein",NA,NA,NA
"Cornelis Schuytbuurt",78.7,80.7,70.6
"Cornelis Troostbuurt",70.9,74.1,50
"Cremerbuurt Oost",75,76.8,56.3
"Cremerbuurt West",72.7,74.9,53.6
"Czaar Peterbuurt",66.9,69.4,48.1
"D-buurt",65.1,65.8,38.2
"Da Costabuurt Noord",72,75,55.5
"Da Costabuurt Zuid",71.7,73.6,53.1
"Dapperbuurt Noord",63.7,68.1,44.4
"Dapperbuurt Zuid",63.9,67.3,44.9
"De Aker Oost",69.8,72.2,57.2
"De Aker West",69.3,72,56.6
"De Bongerd",73.2,74.1,58
"De Eenhoorn",71.6,72.4,50.9
"De Heining",68.5,72.1,NA
"De Kleine Wereld",52.9,55.4,45.7
"De Klenckebuurt",70.9,74.9,62
"De Omval",77.5,79.3,71.1
"De Punt",62.9,66.2,46.8
"De Wester Quartier",63.2,66.2,42.7
"De Wetbuurt",66.9,71.9,52.3
"De Wittenbuurt Noord",67.6,70.5,51.8
"De Wittenbuurt Zuid",61,63.9,53.5
"Delflandpleinbuurt Oost",66.1,67.7,46.6
"Delflandpleinbuurt West",66.4,68.5,43.9
"Den Texbuurt",75.3,77.9,65.2
"Diamantbuurt",59.8,64,43.9
"Diepenbrockbuurt",80.4,83.4,70.8
"Don Bosco",72.5,76.1,56.6
"Dorp Driemond",71.1,73.8,62.2
"Dorp Sloten",74,76.2,67.3
"Drieburg",NA,NA,NA
"Driehoekbuurt",69.1,71.8,57.2
"Duivelseiland",73.7,75.6,56.9
"Durgerdam",79,82.1,69.4
"E-buurt",67.8,68.6,47.5
"Ecowijk",70,72.1,59.3
"Eendrachtspark",65.6,65.8,63.2
"Elandsgrachtbuurt",69.4,72.8,56.9
"Elzenhagen Noord",73.4,75.2,56.4
"Elzenhagen Zuid",61.8,62.7,44.2
"Emanuel van Meterenbuurt",64.9,67.5,54.7
"Entrepot-Noordwest",64.8,66.8,56.3
"Erasmusparkbuurt Oost",69.2,71.8,48.8
"Erasmusparkbuurt West",71.4,74.1,44.1
"F-buurt",63.6,64.9,48.5
"Fannius Scholtenbuurt",66.6,68.7,47.5
"Felix Meritisbuurt",76.2,77.8,68.8
"Filips van Almondekwartier",70.9,73.4,47
"Flevopark",80.8,83,NA
"Frankendael",81.5,84.8,NA
"Frans Halsbuurt",72,73.9,58.1
"Frederik Hendrikbuurt Noord",69.9,72.9,51.8
"Frederik Hendrikbuurt Zuidoost",68.6,70.6,51
"Frederik Hendrikbuurt Zuidwest",68.1,72,55.7
"Frederikspleinbuurt",75.8,77.1,70
"G-buurt Noord",47.5,49.4,33.6
"G-buurt Oost",66.4,70.7,58.6
"G-buurt West",60.8,63.5,46.6
"Gaasperdam Noord",58.9,60.4,50.5
"Gaasperdam Zuid",58,62,44.3
"Gaasperpark",68.5,70.8,NA
"Gaasperplas",74.6,78,NA
"Gein Noordoost",73,74.6,69.1
"Gein Noordwest",56.3,59.7,41.4
"Gein Zuidoost",61.2,64.3,52.7
"Gein Zuidwest",56,58.2,42.1
"Gelderlandpleinbuurt",67.3,71.9,54.8
"Gerard Doubuurt",68.2,70.8,51.3
"Geuzenhofbuurt",75.2,77,57.1
