"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Nederland",51.6,49.5,58.1
"Gemeente: Amsterdam",43,40.6,55.8
NA,NA,NA,NA
"AMC",54.7,54.1,NA
"Aalsmeerwegbuurt Oost",36.6,34,54.2
"Aalsmeerwegbuurt West",35.1,33.1,55.2
"Afrikahaven",NA,NA,NA
"Alexanderplein e.o.",32,30.2,45.8
"Alfa-driehoek",NA,NA,NA
"Amerikahaven",NA,NA,NA
"Amstel III deel A/B Noord",42.5,42.5,NA
"Amstel III deel A/B Zuid",33.7,33.7,NA
"Amstel III deel C/D Noord",44.6,43.4,NA
"Amstel III deel C/D Zuid",NA,NA,NA
"Amstelglorie",40.6,38.9,47.1
"Amstelkwartier Noord",32.1,31.5,47.3
"Amstelkwartier West",32.8,32.3,51.5
"Amstelkwartier Zuid",44.1,42.6,NA
"Amstelpark",46.4,NA,NA
"Amstelveldbuurt",33.3,31.3,42
"Amsterdamse Bos",48,43.4,58.1
"Amsterdamse Poort",50.9,49.1,60.4
"Andreasterrein",42.9,40.7,56.1
"Anjeliersbuurt Noord",36.7,33.4,48.8
"Anjeliersbuurt Zuid",38.9,35.8,49.6
"Architectenbuurt",42.6,40.5,50.6
"BG-terrein e.o.",32,30,45
"Baanakkerspark Noord",46,43.1,54.5
"Baanakkerspark Zuid",45.9,42.7,51.7
"Balboaplein e.o.",40.5,38.2,61.6
"Banne Noordoost",54.7,53,61.3
"Banne Noordwest",56.2,54.5,63.9
"Banne Zuidoost",50.2,47.6,59.4
"Banne Zuidwest",53.6,51.3,62.8
"Banpleinbuurt",35,32,41.5
"Beatrixpark",NA,NA,NA
"Bedrijvencentrum Osdorp",NA,NA,NA
"Bedrijvencentrum Westerkwartier",41.8,39.8,NA
"Bedrijvengebied Cruquiusweg",35.4,34.9,48.5
"Bedrijvengebied Veelaan",41.5,37.3,50
"Bedrijvengebied Zeeburgerkade",34.4,31,54.6
"Bedrijvenpark Lutkemeer",45.5,43,NA
"Bedrijventerrein Hamerstraat",37.4,36.7,52.1
"Bedrijventerrein Landlust",34.5,33.2,56.2
"Bedrijventerrein Nieuwendammerdijk",40.4,38.7,NA
"Bedrijventerrein Schinkel",31.9,30.8,47.6
"Bedrijventerrein Sloterdijk I",43,42.4,NA
"Beethovenbuurt",34.1,31.4,43.4
"Begijnhofbuurt",33.1,30.1,47.8
"Belgiëplein e.o.",50.9,45.6,61
"Bellamybuurt Noord",36.8,34.2,54.6
"Bellamybuurt Zuid",35.8,33.5,55.4
"Bertelmanpleinbuurt",45.9,41.7,58.5
"Betondorp",53.1,49.5,62.2
"Bijlmermuseum Noord",55.1,52.5,62
"Bijlmermuseum Zuid",49.2,47.6,60
"Blauwe Zand",54.7,51.3,65
"Bloemenbuurt Noord",50.9,47,64.5
"Bloemenbuurt Zuid",52.1,49.6,61.6
"Bloemgrachtbuurt",36.3,33.3,48.9
"Borgerbuurt",46.9,42.9,57.1
"Borneo",40.1,38.5,52.6
"Bosleeuw",45.8,43.2,66
"Bretten Oost",NA,NA,NA
"Bretten West",NA,NA,NA
"Buiksloterbreek",40.3,37.2,46.9
"Buiksloterdijk Oost",33.5,31.4,37.5
"Buiksloterdijk West",34.2,32.1,40.2
"Buiksloterham",41.9,40.8,56.8
"Buikslotermeer Noord",44.5,40.5,56
"Buikslotermeerplein",51.5,48.1,59.2
"Buiteneiland",NA,NA,NA
"Buitenveldert Midden Zuid",40.4,38.4,51.2
"Buitenveldert Oost Midden",46.4,43.2,53.6
"Buitenveldert West Midden",42.5,39.6,47.5
"Buitenveldert Zuidoost",38.9,36.8,46.6
"Buitenveldert Zuidwest",44.1,40.1,52
"Burgemeester Tellegenbuurt Oost",42.6,39.1,57.4
"Burgemeester Tellegenbuurt West",44.3,40.5,56.4
"Burgwallen Oost",33.4,31.5,47.9
"Buurt 10",54.8,53.1,60.2
"Buurt 2",55,53.6,64
"Buurt 3",53.3,51.6,62.7
"Buurt 4 Oost",52.5,50.1,63.7
"Buurt 5 Noord",58.2,56.8,66.3
"Buurt 5 Zuid",53.6,51.7,65.1
"Buurt 6",58.3,56.7,66.7
"Buurt 7",55,52.7,65.1
"Buurt 8",54.7,53.4,65.8
"Buurt 9",58.1,56.4,67.5
"Buyskade e.o.",36.2,33.6,54.3
"Calandlaan/Lelylaan",54.8,52.7,61.1
"Centrumeiland",46.2,45.6,58.6
"Circus/Kermisbuurt",53.8,52.3,61.1
"Coenhaven/Mercuriushaven",23,22.9,NA
"Columbusplein e.o.",43,40.5,60.6
"Concertgebouwbuurt",33.7,32.1,40.2
"Cornelis Douwesterrein",NA,NA,NA
"Cornelis Schuytbuurt",33.6,32.1,39.6
"Cornelis Troostbuurt",35,32,54.3
"Cremerbuurt Oost",33.1,31.4,50.1
"Cremerbuurt West",34.9,32.8,53.2
"Czaar Peterbuurt",37.9,35.9,53
"D-buurt",33.3,32.6,62.6
"Da Costabuurt Noord",35.4,32.6,51.2
"Da Costabuurt Zuid",34.3,32.5,52
"Dapperbuurt Noord",41,37.1,58.1
"Dapperbuurt Zuid",40.8,37.8,57.6
"De Aker Oost",47.8,45.9,57.7
"De Aker West",49.8,47.9,58.3
"De Bongerd",44.2,43.4,59.1
"De Eenhoorn",29,28.2,51.8
"De Heining",60,58.6,NA
"De Kleine Wereld",55.8,53.5,62.5
"De Klenckebuurt",42.2,39.7,47.9
"De Omval",34.2,32,42
"De Punt",51.1,48.9,61.3
"De Wester Quartier",43,40.3,61.3
"De Wetbuurt",44.9,40.6,57.5
"De Wittenbuurt Noord",38.8,36,54.5
"De Wittenbuurt Zuid",42.8,40,50.4
"Delflandpleinbuurt Oost",36,34.3,57.4
"Delflandpleinbuurt West",38.8,36.8,60.5
"Den Texbuurt",34,31.5,44
"Diamantbuurt",43.7,40.2,56.9
"Diepenbrockbuurt",32.7,30.6,39.5
"Don Bosco",37.1,33.9,51.6
"Dorp Driemond",52.3,50.2,59.6
"Dorp Sloten",45.9,43.2,54
"Drieburg",NA,NA,NA
"Driehoekbuurt",37.2,34.2,50.1
"Duivelseiland",33.3,31.6,48.6
"Durgerdam",43.4,40.6,52.2
"E-buurt",47,46.5,60.9
"Ecowijk",40.5,38.9,48.8
"Eendrachtspark",52.9,52.3,58.4
"Elandsgrachtbuurt",38.3,34.9,50.7
"Elzenhagen Noord",40.2,38.5,56.9
"Elzenhagen Zuid",38,36.8,60.2
"Emanuel van Meterenbuurt",47.7,46,54.4
"Entrepot-Noordwest",43.6,41.7,51.8
"Erasmusparkbuurt Oost",38.8,36.5,57.6
"Erasmusparkbuurt West",38.2,36,60.1
"F-buurt",48.9,48,59.6
"Fannius Scholtenbuurt",39.3,37.6,55
"Felix Meritisbuurt",34,32.1,43.3
"Filips van Almondekwartier",35.4,33.1,57.4
"Flevopark",32.6,29.5,NA
"Frankendael",38.5,38,NA
"Frans Halsbuurt",33.6,31.7,48
"Frederik Hendrikbuurt Noord",36.3,33.6,53.1
"Frederik Hendrikbuurt Zuidoost",37.1,35.2,52.8
"Frederik Hendrikbuurt Zuidwest",40.9,37.9,50.7
"Frederikspleinbuurt",34,32.2,41.6
"G-buurt Noord",56.7,55.7,63.7
"G-buurt Oost",48.2,44.8,54.3
"G-buurt West",51.5,49.8,60.6
"Gaasperdam Noord",53.7,52.6,59.9
"Gaasperdam Zuid",53.1,51,60.2
"Gaasperpark",51.7,50.5,NA
"Gaasperplas",46.4,44.2,NA
"Gein Noordoost",50.5,48.8,54.7
"Gein Noordwest",54.8,53.2,62
"Gein Zuidoost",56.5,54.1,63.3
"Gein Zuidwest",54.5,53.1,62.9
"Gelderlandpleinbuurt",41.6,38,51.3
"Gerard Doubuurt",36.4,34.1,51.9
"Geuzenhofbuurt",31.7,30,49.7
"Gibraltarbuurt",43.9,41.9,61
"Gooise Kant",47.9,47.7,NA
"Gouden Bocht",32,29.9,41.5
"Groenmarktkadebuurt",29.2,27,50.6
"Grunder/Koningshoef",52.4,51.1,62.7
"Haarlemmerbuurt Oost",36.1,32.7,49.8
"Haarlemmerbuurt West",38.9,36,51.2
"Hakfort/Huigenbos",56,55,64.1
"Harmoniehofbuurt",43.2,36.9,48.5
"Haveneiland Noord",53.1,52.3,59.2
"Haveneiland Noordoost",48.7,47.7,60.8
"Haveneiland Noordwest",47.3,46.1,57.4
"Haveneiland Oost",46.9,46.1,60.2
"Haveneiland Zuidwest/Rieteiland West",41.7,40.7,51.8
"Helmersbuurt Oost",32.3,30.4,46.4
"Hemelrijk",33.2,32,48.5
"Hemonybuurt",33.3,31.6,48.4
"Hercules Seghersbuurt",36.1,33.4,55.7
"Het Funen",37.2,35.4,47.5
"Hiltonbuurt",35.3,33.6,42.8
"Hoge Dijk",41.6,40.2,NA
"Holendrecht Oost",53.1,51.1,56.6
"Holendrecht West",59.5,58.1,63.2
"Holysloot",45.7,43.7,50.8
"Hondecoeterbuurt",34.6,31.6,44.9
"Hoofdcentrum Zuidoost",34.2,34.2,NA
"Hoptille",48,47,63.4
"Houthavens Oost",39.5,37.9,44.4
"Houthavens West",38.2,37,49
"Huntum",45.6,44.3,47.8
"IJplein e.o.",51.9,49.4,61.6
"IJsbaanpad e.o.",42.1,40.4,49.4
"IJselbuurt Oost",36.7,33.6,53.5
"IJselbuurt West",37.8,34.5,53.6
"Jacob Geelbuurt",53.9,52.2,65.8
"Jacques Veltmanbuurt",43.4,40.8,59.8
"Jan Maijenbuurt",43.2,40.6,62.6
"Java-eiland",40.9,38.9,49.3
"Johan Jongkindbuurt",52.7,51.4,67.9
"Johannnes Vermeerbuurt",34,32.4,39.9
"John Franklinbuurt",40.8,38,60.4
"Julianapark",34.3,31.8,49.2
"K-buurt Midden",51.5,50.1,63.2
"K-buurt Zuidoost",51.4,50.5,66.1
"K-buurt Zuidwest",53.8,52.9,59.9
"KNSM-eiland",45.9,44.1,51.3
"Kadijken",37.9,34.6,46.9
"Kadoelen",45.8,43.6,55.3
"Kalverdriehoek",30.2,29,48.2
"Kantershof",53.1,50.3,60.1
"Kattenburg",40.6,33.9,58.4
"Kazernebuurt",38.9,34.2,50.7
"Kelbergen",57,55.8,61.1
"Kolenkitbuurt Noord",50.8,48.9,69.6
"Kolenkitbuurt Zuid",47.2,44.6,64.6
"Koningin Wilhelminaplein",34.5,33.3,49.8
"Kop Zeedijk",34.8,33.4,50.1
"Kop Zuidas",33.8,32.6,48
"Kortenaerkwartier",37.5,34.9,55.2
"Kortvoort",55.7,54.1,60.8
"Kromme Mijdrechtbuurt",37.6,34.1,53.7
"L-buurt",51.5,49.5,57.5
"Laan van Spartaan",38.1,36.4,64
"Landelijk gebied Driemond",41.3,40.4,46.9
"Landlust Noord",43.3,40.9,64.4
"Landlust Zuid",38.9,36.6,59.1
"Langestraat e.o.",35,32.4,43.2
"Lastage",35,32.1,49.1
"Legmeerpleinbuurt",36.3,33.5,52.3
"Leidsebuurt Noordoost",29.3,28.3,44.7
"Leidsebuurt Noordwest",31,30,47
"Leidsebuurt Zuidoost",35.8,33.8,45.6
"Leidsebuurt Zuidwest",35.9,33.6,53.6
"Leidsegracht Noord",32.7,30.6,42.3
"Leidsegracht Zuid",33.1,31.6,41
"Leliegracht e.o.",32.3,30.5,41.4
"Linnaeusparkbuurt",33.8,31,45.9
"Lizzy Ansinghbuurt",37.7,34.9,53.8
"Loenermark",44.4,40.5,58.2
"Lootsbuurt",40.4,37.8,57.4
"Louis Chrispijnbuurt",50.1,47.1,59.4
"Lucas/Andreasziekenhuis e.o.",25.3,25.2,NA
"Marathonbuurt Oost",44.4,41.3,54.6
"Marathonbuurt West",46.9,43.7,58.8
"Marcanti",40.8,36.2,59.8
"Marine-Etablissement",44.7,41.8,52.1
"Marjoleinterrein",44,43.4,49.8
"Markengouw Midden",54.8,53.8,63.1
"Markengouw Zuid",53.5,52.9,58.7
"Markthallen",45.9,41.4,NA
"Marnixbuurt Midden",33.1,31.5,49.5
"Marnixbuurt Noord",40.8,37.6,53.8
"Marnixbuurt Zuid",37.8,34.7,46.1
"Medisch Centrum Slotervaart",35.6,35.3,NA
"Meer en Oever",50.5,48.6,57.2
"Mercatorpark",NA,NA,NA
"Middelveldsche Akerpolder",56.1,54.1,62.3
"Middeneiland Zuidoost",NA,NA,NA
"Middeneiland Zuidwest",NA,NA,NA
"Middenmeer Noord",36.4,32.7,51.1
"Middenmeer Zuid",38.3,35.4,53.3
"Minervabuurt Midden",33.5,31.7,39.6
"Minervabuurt Noord",34.9,33.3,40.3
"Minervabuurt Zuid",35.3,32.9,43.1
"Molenwijk",56.9,54.8,63.4
"Museumplein",NA,NA,NA
"NDSM terrein",36,35.9,49.6
"Nelson Mandelapark",NA,NA,NA
"Nes e.o.",32.1,30.5,48.6
"Nieuw Sloten Noordoost",51.4,48.6,58.9
"Nieuw Sloten Noordwest",50.1,47.9,57.9
"Nieuw Sloten Zuidoost",51.7,50.3,59.7
"Nieuw Sloten Zuidwest",44.9,43.4,52.1
"Nieuwe Diep/Diemerpark",48.3,47.3,51.8
"Nieuwe Kerk e.o.",31.9,30.9,46.8
"Nieuwe Meer",49.1,47.8,58.9
"Nieuwe Oosterbegraafplaats",NA,NA,NA
"Nieuwendammerdijk Oost",38.2,36.3,47.2
"Nieuwendammerdijk West",37.1,34.4,46.3
"Nieuwendammerdijk Zuid",NA,NA,NA
"Nieuwendijk Noord",32.8,31.6,55.7
"Nieuwmarkt",40.7,36.4,50.3
"Nintemanterrein",39.1,34.9,46.8
"Noorder IJplas",51,49.4,53.4
"Noorderstrook Oost",NA,NA,NA
"Noorderstrook West",49.8,49.2,NA
"Noordoever Sloterplas",44.6,42.5,56.8
"Noordoostkwadrant Indische buurt",47.7,44.2,61.4
"Noordwestkwadrant Indische buurt Noord",38.3,36.1,59.8
"Noordwestkwadrant Indische buurt Zuid",39.5,36.5,63.8
"Olympisch Stadion e.o.",41.7,39,52.2
"Ookmeer",NA,NA,NA
"Oostelijke Handelskade",41.5,40.4,50.9
"Oostenburg",35.2,32.9,51.9
"Oosterdokseiland",37.9,37.2,43
"Oosterpark",35.2,33.9,45.3
"Oosterparkbuurt Noordwest",38.6,35.5,56.6
"Oosterparkbuurt Zuidoost",37.9,35.4,51.7
"Oosterparkbuurt Zuidwest",43.3,40.3,58.8
"Oostoever Sloterplas",45.6,41.1,56.1
"Oostpoort",40,36.9,50.7
"Oostzanerdijk",47.8,44.9,59.4
"Orteliusbuurt Midden",39.1,36.7,58.3
"Orteliusbuurt Noord",41.6,38.2,61
