"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Nederland",22.2,24.5,15.4
"Gemeente: Amsterdam",31.6,33.2,23.2
NA,NA,NA,NA
"AMC",43.7,45,NA
"Aalsmeerwegbuurt Oost",28.4,29.5,21.3
"Aalsmeerwegbuurt West",28.6,29,24.1
"Afrikahaven",NA,NA,NA
"Alexanderplein e.o.",26.2,27.9,14
"Alfa-driehoek",NA,NA,NA
"Amerikahaven",NA,NA,NA
"Amstel III deel A/B Noord",35.8,35.9,NA
"Amstel III deel A/B Zuid",40.7,40.8,NA
"Amstel III deel C/D Noord",31.7,33.3,NA
"Amstel III deel C/D Zuid",NA,NA,NA
"Amstelglorie",19.2,20.9,12.7
"Amstelkwartier Noord",29,29.6,14
"Amstelkwartier West",35.4,36,11
"Amstelkwartier Zuid",27.9,30.7,NA
"Amstelpark",25.9,NA,NA
"Amstelveldbuurt",24.4,26.9,13.3
"Amsterdamse Bos",20.6,24.6,11.7
"Amsterdamse Poort",41.6,43.1,34.3
"Andreasterrein",28.8,29.5,24.9
"Anjeliersbuurt Noord",28,30.4,18.8
"Anjeliersbuurt Zuid",29.7,32.2,21.3
"Architectenbuurt",28,30.2,19.6
"BG-terrein e.o.",33.6,35.8,19.8
"Baanakkerspark Noord",27,31.3,14.5
"Baanakkerspark Zuid",24.5,30.8,13.3
"Balboaplein e.o.",35.8,36,34
"Banne Noordoost",33.8,37.1,21.3
"Banne Noordwest",36.6,39.2,24.7
"Banne Zuidoost",30.4,32.6,22.6
"Banne Zuidwest",34.8,37.4,24.2
"Banpleinbuurt",18.8,22.3,11.5
"Beatrixpark",NA,NA,NA
"Bedrijvencentrum Osdorp",NA,NA,NA
"Bedrijvencentrum Westerkwartier",24,25.5,NA
"Bedrijvengebied Cruquiusweg",27.2,27.8,10.4
"Bedrijvengebied Veelaan",20.9,23.2,16.3
"Bedrijvengebied Zeeburgerkade",30.1,32.6,15.3
"Bedrijvenpark Lutkemeer",22.5,23.8,NA
"Bedrijventerrein Hamerstraat",35.6,36.3,18.6
"Bedrijventerrein Landlust",31.3,31.7,24.2
"Bedrijventerrein Nieuwendammerdijk",21.5,24.4,NA
"Bedrijventerrein Schinkel",34.1,35.6,12.1
"Bedrijventerrein Sloterdijk I",36.9,37.1,NA
"Beethovenbuurt",21.7,23.6,15
"Begijnhofbuurt",35.9,38.2,25
"Belgiëplein e.o.",28,30.5,23.2
"Bellamybuurt Noord",32,32.9,25.7
"Bellamybuurt Zuid",32.5,33.1,27
"Bertelmanpleinbuurt",34.6,36.4,29.2
"Betondorp",31.8,34.6,24.8
"Bijlmermuseum Noord",38.9,41.5,32.1
"Bijlmermuseum Zuid",38.2,39.3,30.8
"Blauwe Zand",30.3,33,22.3
"Bloemenbuurt Noord",30.6,32.6,23.7
"Bloemenbuurt Zuid",35,37.4,25.4
"Bloemgrachtbuurt",30.2,32.1,21.7
"Borgerbuurt",36,38.7,29.1
"Borneo",24.1,24.8,18.4
"Bosleeuw",37.6,37.8,36.8
"Bretten Oost",NA,NA,NA
"Bretten West",NA,NA,NA
"Buiksloterbreek",15.2,17.2,10.8
"Buiksloterdijk Oost",13.8,16.3,9.1
"Buiksloterdijk West",16.5,18.7,10.4
"Buiksloterham",31.6,32.3,22.4
"Buikslotermeer Noord",29.9,34.2,17.6
"Buikslotermeerplein",33.5,37.1,25.2
"Buiteneiland",NA,NA,NA
"Buitenveldert Midden Zuid",29,30.9,18.5
"Buitenveldert Oost Midden",30.4,34.6,20.9
"Buitenveldert West Midden",22,25.2,16.5
"Buitenveldert Zuidoost",28.2,31.4,16.3
"Buitenveldert Zuidwest",25,27.3,20.5
"Burgemeester Tellegenbuurt Oost",34.5,35.7,29.3
"Burgemeester Tellegenbuurt West",34.3,35.8,29.3
"Burgwallen Oost",33.2,35.1,18.7
"Buurt 10",27,30.2,17.4
"Buurt 2",40.5,41.8,31.5
"Buurt 3",37.7,39.3,28.3
"Buurt 4 Oost",35.1,36.9,27
"Buurt 5 Noord",42.7,44.1,34.4
"Buurt 5 Zuid",39.4,41.1,29.6
"Buurt 6",40,42.1,28.5
"Buurt 7",31.7,33.4,24.1
"Buurt 8",38.4,39.1,32.6
"Buurt 9",37.1,38.5,29.8
"Buyskade e.o.",30.2,31.2,23.7
"Calandlaan/Lelylaan",34.9,38.7,23.3
"Centrumeiland",24.9,25.1,21.6
"Circus/Kermisbuurt",27.3,29.1,18.1
"Coenhaven/Mercuriushaven",42.7,42.8,NA
"Columbusplein e.o.",36.6,37.4,31
"Concertgebouwbuurt",22.7,25.2,12.8
