"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Nederland",6.4,7.4,3.6
"Gemeente: Amsterdam",9.7,10.5,5.8
NA,NA,NA,NA
"AMC",16.1,16.7,NA
"Aalsmeerwegbuurt Oost",7.9,8.3,5
"Aalsmeerwegbuurt West",8,8.2,5.7
"Afrikahaven",NA,NA,NA
"Alexanderplein e.o.",6.8,7.3,3
"Alfa-driehoek",NA,NA,NA
"Amerikahaven",NA,NA,NA
"Amstel III deel A/B Noord",12.9,12.9,NA
"Amstel III deel A/B Zuid",14,14,NA
"Amstel III deel C/D Noord",13.8,14.5,NA
"Amstel III deel C/D Zuid",NA,NA,NA
"Amstelglorie",4.7,5.2,2.5
"Amstelkwartier Noord",7.8,7.9,3.3
"Amstelkwartier West",11,11.2,2.3
"Amstelkwartier Zuid",12.4,14.6,NA
"Amstelpark",10.2,NA,NA
"Amstelveldbuurt",6.4,7.3,2.5
"Amsterdamse Bos",5.8,7.3,2.4
"Amsterdamse Poort",16.1,17.1,10.6
"Andreasterrein",8.9,9.4,5.9
"Anjeliersbuurt Noord",7.2,8.1,4
"Anjeliersbuurt Zuid",8.1,9.1,4.7
"Architectenbuurt",7.9,8.7,4.7
"BG-terrein e.o.",8.5,9.1,4.5
"Baanakkerspark Noord",7.9,9.6,3
"Baanakkerspark Zuid",7.1,9.7,2.5
"Balboaplein e.o.",10.7,10.8,9.6
"Banne Noordoost",11.2,12.7,5.4
"Banne Noordwest",12.6,13.8,6.7
"Banne Zuidoost",9.9,11,5.7
"Banne Zuidwest",11.7,13.1,6.1
"Banpleinbuurt",4.6,5.8,2
"Beatrixpark",NA,NA,NA
"Bedrijvencentrum Osdorp",NA,NA,NA
"Bedrijvencentrum Westerkwartier",5.6,6,NA
"Bedrijvengebied Cruquiusweg",7.6,7.8,2.2
"Bedrijvengebied Veelaan",5.6,6.7,3.3
"Bedrijvengebied Zeeburgerkade",9.2,10.2,2.9
"Bedrijvenpark Lutkemeer",6,6.5,NA
"Bedrijventerrein Hamerstraat",14.1,14.6,4
"Bedrijventerrein Landlust",9.8,10,6.5
"Bedrijventerrein Nieuwendammerdijk",8.7,10.3,NA
"Bedrijventerrein Schinkel",13.3,14,2.5
"Bedrijventerrein Sloterdijk I",17.1,17.3,NA
"Beethovenbuurt",6.3,7.3,3
"Begijnhofbuurt",9.7,10.7,5.2
"Belgiëplein e.o.",8.9,10.6,5.6
"Bellamybuurt Noord",8.9,9.3,6.4
"Bellamybuurt Zuid",9.2,9.5,6.8
"Bertelmanpleinbuurt",9.7,10.5,7.2
"Betondorp",9,10.3,5.6
"Bijlmermuseum Noord",15.1,17,9.9
"Bijlmermuseum Zuid",14.5,15.1,10.3
"Blauwe Zand",9.1,10.3,5.5
"Bloemenbuurt Noord",9.2,10.2,5.9
"Bloemenbuurt Zuid",11.2,12.3,6.7
"Bloemgrachtbuurt",8.1,9,4.6
"Borgerbuurt",10.8,12.2,7.3
"Borneo",6.2,6.5,4.1
"Bosleeuw",12,12.2,10.6
"Bretten Oost",NA,NA,NA
"Bretten West",NA,NA,NA
"Buiksloterbreek",3.1,3.7,2
"Buiksloterdijk Oost",2.7,3.3,1.5
"Buiksloterdijk West",3.6,4.3,1.8
"Buiksloterham",9.9,10.2,6.2
"Buikslotermeer Noord",8.9,10.8,3.8
"Buikslotermeerplein",10.7,12.6,6.3
"Buiteneiland",NA,NA,NA
"Buitenveldert Midden Zuid",9.4,10.5,3.9
"Buitenveldert Oost Midden",9.9,12.2,4.7
"Buitenveldert West Midden",6.2,7.9,3
"Buitenveldert Zuidoost",9.5,11.1,3.4
"Buitenveldert Zuidwest",7.5,8.8,4.8
"Burgemeester Tellegenbuurt Oost",10.1,10.7,7.4
"Burgemeester Tellegenbuurt West",10.2,11,7.5
"Burgwallen Oost",10.1,10.8,4.3
"Buurt 10",8.8,10.3,3.9
"Buurt 2",13.9,14.7,8.5
"Buurt 3",12.9,13.7,8
"Buurt 4 Oost",12,13,7.3
"Buurt 5 Noord",14.5,15.2,10.4
"Buurt 5 Zuid",13.2,13.9,8.7
"Buurt 6",13.7,14.7,8.1
"Buurt 7",10.5,11.4,6.8
"Buurt 8",13.8,14.3,10
"Buurt 9",12.9,13.6,9.2
"Buyskade e.o.",8.3,8.7,5.8
"Calandlaan/Lelylaan",11.5,13.4,5.5
"Centrumeiland",7.9,8,6.7
"Circus/Kermisbuurt",8.3,9.1,4.3
"Coenhaven/Mercuriushaven",19.2,19.3,NA
"Columbusplein e.o.",11.3,11.7,8.4
"Concertgebouwbuurt",6.5,7.4,2.5
