"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Nederland",17.3,17.9,15.6
"Gemeente: Amsterdam",21.6,21.8,20.3
NA,NA,NA,NA
"AMC",35.7,36.1,NA
"Aalsmeerwegbuurt Oost",18.1,18.1,17.9
"Aalsmeerwegbuurt West",17.9,17.6,20.2
"Afrikahaven",NA,NA,NA
"Alexanderplein e.o.",15.8,16.4,11.1
"Alfa-driehoek",NA,NA,NA
"Amerikahaven",NA,NA,NA
"Amstel III deel A/B Noord",20.4,20.4,NA
"Amstel III deel A/B Zuid",22.7,22.7,NA
"Amstel III deel C/D Noord",16.2,17,NA
"Amstel III deel C/D Zuid",NA,NA,NA
"Amstelglorie",11.6,11.9,10.5
"Amstelkwartier Noord",16.4,16.7,10.9
"Amstelkwartier West",20.4,20.6,10
"Amstelkwartier Zuid",16.5,17.3,NA
"Amstelpark",18.3,NA,NA
"Amstelveldbuurt",14.9,16,10.1
"Amsterdamse Bos",14,15.4,10.9
"Amsterdamse Poort",30.5,30.3,31.5
"Andreasterrein",20.7,20.4,22.3
"Anjeliersbuurt Noord",17.2,17.9,14.5
"Anjeliersbuurt Zuid",19.2,19.9,16.6
"Architectenbuurt",20.1,20.9,17.3
"BG-terrein e.o.",19.3,20.1,14.5
"Baanakkerspark Noord",17.3,18.8,13.1
"Baanakkerspark Zuid",15.8,18.2,11.7
"Balboaplein e.o.",24.6,24.1,29.2
"Banne Noordoost",25.9,27.1,21.4
"Banne Noordwest",28,28.6,25.2
"Banne Zuidoost",22.4,22.9,20.9
"Banne Zuidwest",26,26.8,22.6
"Banpleinbuurt",11.9,13.1,9.3
"Beatrixpark",NA,NA,NA
"Bedrijvencentrum Osdorp",NA,NA,NA
"Bedrijvencentrum Westerkwartier",15.7,16.2,NA
"Bedrijvengebied Cruquiusweg",15.3,15.6,8.4
"Bedrijvengebied Veelaan",15.5,16.8,13
"Bedrijvengebied Zeeburgerkade",17.6,18.3,13.8
"Bedrijvenpark Lutkemeer",15.8,15.9,NA
"Bedrijventerrein Hamerstraat",19.3,19.5,15
"Bedrijventerrein Landlust",17.9,17.8,19.5
"Bedrijventerrein Nieuwendammerdijk",12.8,14,NA
