Buurt,buurtnaam
Leliegracht e.o.,Leliegracht e.o.
Felix Meritisbuurt,Felix Meritisbuurt
Leidsegracht-Noord,Leidsegracht Noord
Stationsplein e.o.,Stationsplein e.o.
Hemelrijk,Hemelrijk
Nieuwendijk-Noord,Nieuwendijk Noord
Spuistraat-Noord,Spuistraat Noord
Nieuwe Kerk e.o.,Nieuwe Kerk e.o.
Leidsebuurt-Noordwest,Leidsebuurt Noordwest
Spuistraat-Zuid,Spuistraat Zuid
Begijnhofbuurt,Begijnhofbuurt
Kalverdriehoek,Kalverdriehoek
Isolatorbuurt,Bedrijventerrein Sloterdijk I
Contactbuurt,Bedrijventerrein Sloterdijk I
Woon- en Groengebied Sloterdijk,Woon- en Groengebied Sloterdijk
Hemknoop-Zuid,Overbraker Binnenpolder
Overbraker Binnenpolder,Overbraker Binnenpolder
Kolenkitbuurt-Zuid,Kolenkitbuurt Zuid
Zaanstraat emplacement,Overbraker Binnenpolder
Spaarndammerbuurt-Noordwest,Spaarndammerbuurt Noordwest
Spaarndammerbuurt-Midden,Spaarndammerbuurt Midden
Bedrijvengebied Veelaan,Bedrijvengebied Veelaan
Spaarndammerbuurt-Zuidwest,Spaarndammerbuurt Zuidwest
Spaarndammerbuurt-Noordoost,Spaarndammerbuurt Noordoost
Zeeheldenbuurt,Zeeheldenbuurt
Westergasfabriek,Westergasfabriek
Spaarndammerbuurt-Zuidoost,Spaarndammerbuurt Zuidoost
Houthavens-West,Houthavens West
Houthavens-Oost,Houthavens Oost
Kolenkitbuurt-Noord,Kolenkitbuurt Noord
Laan van Spartaan,Laan van Spartaan
Pampusbuurt-West,Pampusbuurt West
Robert Scottbuurt-West,Robert Scottbuurt West
Bosleeuw,Bosleeuw
Gibraltarbuurt,Gibraltarbuurt
Bedrijventerrein Landlust,Bedrijventerrein Landlust
Cremerbuurt-Oost,Cremerbuurt Oost
Landlust-Noord,Landlust Noord
Erasmusparkbuurt-Oost,Erasmusparkbuurt Oost
Landlust-Zuid,Landlust Zuid
Robert Scottbuurt-Oost,Robert Scottbuurt Oost
Erasmusparkbuurt-West,Erasmusparkbuurt West
Veluwebuurt,Veluwebuurt
Bedrijvencentrum Westerkwartier,Bedrijvencentrum Westerkwartier
GWL-terrein,Ecowijk
Markthallen,Markthallen
Muidenbuurt-Oost,Groot binnenwater
Marcanti,Marcanti
Westerstaatsman,Westerstaatsman
Fannius Scholtenbuurt,Fannius Scholtenbuurt
Havenkwartier IJburg,Haveneiland Noord
Staatsliedenbuurt-Noordoost,Staatsliedenbuurt Noordoost
De Wittenbuurt-Noord,De Wittenbuurt Noord
De Wittenbuurt-Zuid,De Wittenbuurt Zuid
Buyskade e.o.,Buyskade e.o.
Frederik Hendrikbuurt-Noord,Frederik Hendrikbuurt Noord
Frederik Hendrikbuurt-Zuidwest,Frederik Hendrikbuurt Zuidwest
Frederik Hendrikbuurt-Zuidoost,Frederik Hendrikbuurt Zuidoost
Mercatorpark,Mercatorpark
Orteliusbuurt-Noord,Orteliusbuurt Noord
Jan Maijenbuurt,Jan Maijenbuurt
Pampusbuurt-Oost,Pampusbuurt Oost
John Franklinbuurt,John Franklinbuurt
Pieter van der Doesbuurt,Pieter van der Doesbuurt
Trompbuurt,Trompbuurt
Geuzenhofbuurt,Geuzenhofbuurt
Orteliusbuurt-Midden,Orteliusbuurt Midden
Balboaplein e.o.,Balboaplein e.o.
Orteliusbuurt-Zuid,Orteliusbuurt Zuid
Columbusplein e.o.,Columbusplein e.o.
Java-eiland,Java-eiland
KNSM-eiland,KNSM-eiland
Oostelijke Handelskade,Oostelijke Handelskade
Rietlanden,Rietlanden
Sporenburg,Sporenburg
Borneo,Borneo
Entrepot-Noordwest,Entrepot-Noordwest
Architectenbuurt,Architectenbuurt
Cruquiusbuurt,Bedrijvengebied Cruquiusweg
Bedrijvengebied Zeeburgerkade,Bedrijvengebied Zeeburgerkade
Weesperzijde-Noord,Swammerdambuurt
Weesperzijde-Midden/Zuid,Weesperzijde Midden/Zuid
Parooldriehoek,Parooldriehoek
Oosterparkbuurt-Noordwest,Oosterparkbuurt Noordwest
Oosterpark,Oosterpark
Oosterparkbuurt-Zuidwest,Oosterparkbuurt Zuidwest
Oosterparkbuurt-Zuidoost,Oosterparkbuurt Zuidoost
Transvaalbuurt-West,Transvaalbuurt West
Transvaalbuurt-Oost,Transvaalbuurt Oost
Dapperbuurt-Noord,Dapperbuurt Noord
Dapperbuurt-Zuid,Dapperbuurt Noord
Oostpoort,Oostpoort
Timorpleinbuurt-Noord,Noordwestkwadrant Indische buurt Noord
Timorpleinbuurt-Zuid,Noordwestkwadrant Indische buurt Zuid
Ambonpleinbuurt,Zuidwestkwadrant Indische buurt
Makassarpleinbuurt,Noordoostkwadrant Indische buurt
Zeeburgerdijk-Oost,Zeeburgerdijk Oost
Sumatraplantsoenbuurt,Zuidoostkwadrant Indische buurt
Flevopark,Flevopark
Centrumeiland,Centrumeiland
Sluisbuurt,Zeeburgereiland Noordwest
Sportheldenbuurt,RI Oost terrein
Oostpunt Zeeburgereiland,Zeeburgereiland Noordoost
Baaibuurt-West,Zeeburgereiland Zuidwest
Baaibuurt-Oost,Zeeburgereiland Zuidoost
Bovendiep/Diemerpark,Nieuwe Diep/Diemerpark
Muidenbuurt-West,Groot binnenwater
Steigereiland-Zuid,Steigereiland Zuid
Steigereiland-Noord,Steigereiland Noord
Rieteilanden-West,Haveneiland Zuidwest/Rieteiland West
Joris Ivenspleinbuurt,Haveneiland Noordwest
Ed Pelsterparkbuurt,Haveneiland Noordoost
Buiteneiland,Buiteneiland
Theo van Goghparkbuurt,Haveneiland Oost
Rieteiland-Oost,Rieteiland Oost
Van der Kunbuurt,Van der Kunbuurt
De Eenhoorn,De Eenhoorn
Don Bosco,Don Bosco
Julianapark,Julianapark
Frankendael,Frankendael
Tuindorp Amstelstation,Tuindorp Amstelstation
De Wetbuurt,De Wetbuurt
Tuindorp Frankendael,Tuindorp Frankendael
Linnaeusparkbuurt,Linnaeusparkbuurt
Middenmeer-Noord,Middenmeer Noord
Middenmeer-Zuid,Middenmeer Zuid
Science Park-Noord,Science Park Noord
Science Park-Zuid,Science Park Zuid
Sportpark Middenmeer-Zuid,Sportpark Middenmeer Zuid
Sportpark Middenmeer-Noord,Sportpark Middenmeer Noord
Filips van Almondekwartier,Filips van Almondekwartier
Park de Meer,Park de Meer
Sportpark Voorland,Sportpark Voorland
Drieburg,Drieburg
Nieuwe Oosterbegraafplaats,Nieuwe Oosterbegraafplaats
Betondorp,Betondorp
De Omval,De Omval
Overamstel,Overamstel
Amstelglorie,Amstelglorie
Amstelkwartier-West,Amstelkwartier West
Amstelkwartier-Noord,Amstelkwartier Noord
Amstelkwartier-Zuid,Amstelkwartier Zuid
Weespertrekvaart,Weespertrekvaart
Kortenaerkwartier,Kortenaerkwartier
Van Brakelkwartier,Van Brakelkwartier
De Wester Quartier,De Wester Quartier
Bellamybuurt-Noord,Bellamybuurt Noord
Bellamybuurt-Zuid,Bellamybuurt Zuid
