gebiednaam_x,BEVTOTAAL,BEV65PLUS_P,BEVMIGEUROP_P,BEVVROUW_P,BEVEENOUDERHH_P,BEVALLEENHH_P,WCORHUUR_P,WPARTHUUR_P,WWOZ_GEM,W_KRAP_P,PUITKERING_1874_P,IHHINK_GEM,IWW_P,WCONTACTB_R,WZBUURTHUIZEN_R,LTHUISVOELEN_R,VVEILIGAVOND_R,BEPERKING_BEWEGEN,EENZAAM,EEN_OF_MEER_LANGDURIGE_AANDOENINGEN,ERVAREN_GEZONDHEID_GOED_ZEER_GOED,OVERGEWICHT,PSYCHISCHE_KLACHTEN,SOCIALE_STEUN,VEERKRACHT_LAAG,p_ink_hi,p_hh_osm,p_arb_pp,a_opl_lg,BEV0_14_P,BEVGEB_P,BEVMIG_P
Planciusbuurt-Noord,336.0,10.4,25.3,48.5,4.4,73.8,50.8,40.1,345320.0,13.4,11.0,34200.0,3.3,6.2,6.5,7.7,7.2,6.3,61.1,32.7,67.9,36.5,33.8,10.1,21.3,22.4,13.4,73.0,6.0,5.4,1.5,25.9
Westelijke eilanden,2920.0,19.6,19.2,51.8,5.8,61.7,46.8,21.2,542992.0,7.0,8.0,47100.0,2.9,6.5,6.9,8.3,8.2,7.2,55.6,33.8,70.3,37.8,27.4,7.7,17.9,27.9,12.2,63.0,9.2,10.2,0.5,24.5
Westerdokseiland,1827.0,21.6,17.7,48.8,8.2,46.9,27.6,32.1,695165.0,2.0,8.0,63500.0,2.4,6.9,6.4,8.4,7.9,8.5,53.7,33.7,71.2,40.1,24.7,7.2,17.2,40.5,9.1,64.0,12.0,12.2,1.1,33.8
Planciusbuurt-Zuid,170.0,17.6,13.5,47.1,3.9,77.3,91.1,8.1,345320.0,6.7,20.0,28800.0,3.3,6.2,6.5,7.7,7.2,11.4,64.2,40.8,59.0,43.1,35.7,10.7,23.9,13.1,23.2,64.0,17.6,9.4,2.9,28.3
Haarlemmerbuurt-West,2419.0,18.2,18.6,48.6,6.1,61.5,43.7,33.8,509367.0,6.5,12.0,48900.0,3.3,6.4,7.2,8.3,7.9,8.1,57.9,34.0,68.1,38.9,30.3,8.5,19.7,28.6,13.0,65.0,14.9,8.1,0.6,28.8
Haarlemmerbuurt-Oost,1497.0,17.6,19.6,48.9,4.4,65.2,33.5,43.8,554196.0,7.2,7.0,48100.0,3.5,6.6,6.7,8.2,7.1,6.3,56.0,32.2,71.5,36.1,29.2,7.8,18.0,28.1,10.6,67.0,8.7,6.4,0.7,23.1
Marnixbuurt-Noord,1454.0,17.4,19.6,50.1,6.1,63.9,52.9,31.6,401565.0,7.5,12.0,39800.0,3.6,5.3,6.7,7.4,6.8,10.5,59.6,35.1,65.2,40.8,32.0,9.2,21.2,23.7,13.7,66.0,12.4,8.5,1.0,29.8
Driehoekbuurt,2700.0,16.2,21.0,50.7,5.3,67.2,38.8,36.1,445904.0,8.9,11.0,44100.0,3.8,6.5,7.3,8.4,7.9,7.1,57.7,33.4,69.1,37.2,30.8,8.8,19.5,26.6,12.9,65.0,8.1,8.1,0.9,23.8
Anjeliersbuurt-Noord,2129.0,17.5,18.6,50.7,6.1,61.9,31.6,40.6,544300.0,7.9,7.0,50600.0,3.2,7.3,6.8,8.9,8.2,6.7,53.5,33.0,71.2,36.7,28.0,7.2,17.2,27.0,10.6,66.0,13.2,8.1,0.7,19.9
Zaagpoortbuurt,917.0,8.5,20.4,40.8,3.1,79.0,51.0,34.3,320171.0,11.6,15.0,32000.0,3.7,6.2,6.5,7.7,7.2,6.8,64.3,33.0,66.1,36.8,38.4,11.6,24.2,20.9,20.4,65.0,12.0,5.9,1.0,34.8
Anjeliersbuurt-Zuid,2918.0,19.3,19.2,50.0,6.0,66.4,47.0,27.5,488119.0,7.8,10.0,44800.0,3.6,6.6,7.0,8.2,8.1,7.7,57.1,35.4,68.1,38.9,29.7,8.1,19.2,25.8,14.0,64.0,9.6,7.8,0.8,22.8
Marnixbuurt-Midden,206.0,6.8,24.8,46.1,3.3,49.6,0.8,57.6,517791.0,12.3,12.0,57500.0,3.3,6.2,6.5,7.7,7.2,3.1,54.0,24.8,77.1,33.1,29.1,8.2,17.1,37.7,9.2,79.0,9.7,8.7,2.4,27.1
Bloemgrachtbuurt,3020.0,16.0,23.6,51.9,4.9,62.8,23.7,46.1,550398.0,8.7,7.0,52300.0,4.0,6.5,6.9,8.3,8.1,6.8,56.2,32.0,71.3,36.3,30.2,8.1,18.4,32.6,11.6,67.0,7.9,8.5,0.5,23.9
