"GEBIED_NAAM","18_en_ouder","18_tot_65","65_en_ouder"
"Nederland",49.2,48.9,50
"Gemeente: Amsterdam",59,59.1,58.8
NA,NA,NA,NA
"AMC",82,82.2,NA
"Aalsmeerwegbuurt Oost",53.2,52.6,57.6
"Aalsmeerwegbuurt West",52.3,51.4,61.3
"Afrikahaven",NA,NA,NA
"Alexanderplein e.o.",51.5,51.3,53.4
"Alfa-driehoek",NA,NA,NA
"Amerikahaven",NA,NA,NA
"Amstel III deel A/B Noord",66.2,66.2,NA
"Amstel III deel A/B Zuid",70.2,70.2,NA
"Amstel III deel C/D Noord",70,72.6,NA
"Amstel III deel C/D Zuid",NA,NA,NA
"Amstelglorie",46.2,45.9,47.2
"Amstelkwartier Noord",51.7,51.9,46.4
"Amstelkwartier West",61.1,61.5,42.9
"Amstelkwartier Zuid",65.9,69.6,NA
"Amstelpark",59.4,NA,NA
"Amstelveldbuurt",49.5,50.1,47.2
"Amsterdamse Bos",51.3,52.4,49
"Amsterdamse Poort",75.6,76.5,70.6
"Andreasterrein",55.4,55.2,56.2
"Anjeliersbuurt Noord",53.5,53.1,55
"Anjeliersbuurt Zuid",57.1,56.7,58.4
"Architectenbuurt",56.5,57.1,54.4
"BG-terrein e.o.",55.7,55.6,56.4
"Baanakkerspark Noord",59.5,61.2,54.9
"Baanakkerspark Zuid",56.5,59.8,50.4
"Balboaplein e.o.",58.7,57.8,68
"Banne Noordoost",64.1,65.7,58.1
"Banne Noordwest",68,68.9,63.8
"Banne Zuidoost",60.5,61.1,58.3
"Banne Zuidwest",65.3,66.6,59.9
"Banpleinbuurt",43.8,43.9,43.7
"Beatrixpark",NA,NA,NA
"Bedrijvencentrum Osdorp",NA,NA,NA
"Bedrijvencentrum Westerkwartier",47.9,47.3,NA
"Bedrijvengebied Cruquiusweg",50.6,51,41.1
"Bedrijvengebied Veelaan",50.5,49.9,51.7
"Bedrijvengebied Zeeburgerkade",59.7,60.4,55.4
"Bedrijvenpark Lutkemeer",49.9,49.7,NA
"Bedrijventerrein Hamerstraat",72.9,73.5,59.1
"Bedrijventerrein Landlust",58.5,58.2,64.4
"Bedrijventerrein Nieuwendammerdijk",51.9,53.6,NA
"Bedrijventerrein Schinkel",68,69.6,44
"Bedrijventerrein Sloterdijk I",75.9,76,NA
"Beethovenbuurt",48.7,48.6,49.3
"Begijnhofbuurt",60.7,60.8,60
"Belgiëplein e.o.",61.5,62.6,59.3
"Bellamybuurt Noord",56.4,55.6,62.1
"Bellamybuurt Zuid",56.8,56,63.3
"Bertelmanpleinbuurt",60.4,59.2,64
"Betondorp",60.8,60.8,60.9
"Bijlmermuseum Noord",74,75.3,70.4
"Bijlmermuseum Zuid",70.8,71,69.5
"Blauwe Zand",59,59.6,57.3
"Bloemenbuurt Noord",59.7,59.4,60.6
"Bloemenbuurt Zuid",63.9,64.2,62.8
"Bloemgrachtbuurt",56.2,55.7,58.5
"Borgerbuurt",64,63.8,64.4
"Borneo",48.9,48.4,52.7
"Bosleeuw",62.2,61.6,66.5
"Bretten Oost",NA,NA,NA
"Bretten West",NA,NA,NA
"Buiksloterbreek",41.7,39.3,46.6
"Buiksloterdijk Oost",38.9,36.3,43.7
"Buiksloterdijk West",40.5,39.6,43
"Buiksloterham",57.4,57.3,57.8
"Buikslotermeer Noord",60.4,61.9,56
"Buikslotermeerplein",66.3,67.4,63.9
"Buiteneiland",NA,NA,NA
"Buitenveldert Midden Zuid",60.1,60.8,56.6
"Buitenveldert Oost Midden",63.2,64.7,59.5
"Buitenveldert West Midden",53.9,54.2,53.4
"Buitenveldert Zuidoost",61,62.6,55.1
"Buitenveldert Zuidwest",57.9,57.1,59.4
"Burgemeester Tellegenbuurt Oost",60.1,59.3,63.2
"Burgemeester Tellegenbuurt West",61.5,60.4,65
"Burgwallen Oost",60.5,60.9,57.3
"Buurt 10",57.7,59.2,53
"Buurt 2",68.1,68.7,64.4
"Buurt 3",65.3,65.7,63
"Buurt 4 Oost",65.2,65.9,61.8
"Buurt 5 Noord",69.6,70,67.1
"Buurt 5 Zuid",66.7,67.1,64.1
"Buurt 6",67.9,68.7,63.4
"Buurt 7",62.3,62.9,59.5
"Buurt 8",67.6,67.7,66
"Buurt 9",66.3,66.5,64.9
"Buyskade e.o.",54.6,54.1,58.6
"Calandlaan/Lelylaan",64.6,66.2,59.6
"Centrumeiland",49.6,49.4,54
"Circus/Kermisbuurt",57.1,57.6,54.4
"Coenhaven/Mercuriushaven",80,80,NA
"Columbusplein e.o.",60.8,60,66.4
"Concertgebouwbuurt",50.1,50.6,47.8
"Cornelis Douwesterrein",NA,NA,NA
"Cornelis Schuytbuurt",47.8,48.5,44.8
"Cornelis Troostbuurt",56.7,55.9,62
"Cremerbuurt Oost",52.5,51.8,59.9
"Cremerbuurt West",55.3,54.6,60.6
"Czaar Peterbuurt",59.6,59.1,63.7
"D-buurt",68.2,68.1,69.5
"Da Costabuurt Noord",55.2,54.7,58.5
"Da Costabuurt Zuid",57.8,57.5,60.3
"Dapperbuurt Noord",60.2,59.3,64.6
"Dapperbuurt Zuid",60.1,59.3,64.2
"De Aker Oost",54.8,55.2,52.5
"De Aker West",55.6,55.8,54.5
"De Bongerd",51.2,50.9,56
"De Eenhoorn",63.3,63.3,64
"De Heining",49.6,50.9,NA
"De Kleine Wereld",68.5,70.9,61.5
"De Klenckebuurt",57.6,60.2,51.8
"De Omval",54.6,56.1,49
"De Punt",63.8,64.3,61.6
"De Wester Quartier",60.6,60,64.9
"De Wetbuurt",53.2,51.9,57
"De Wittenbuurt Noord",58.4,57.9,61.4
"De Wittenbuurt Zuid",61.3,61.7,60.3
"Delflandpleinbuurt Oost",68.1,68.4,63.8
"Delflandpleinbuurt West",62.5,62.2,65.2
"Den Texbuurt",52,52.3,50.9
"Diamantbuurt",62,61.4,64.5
"Diepenbrockbuurt",41.6,41.7,41.1
"Don Bosco",50.8,49.9,55
"Dorp Driemond",46.1,45.8,47.1
"Dorp Sloten",48.9,48.3,50.7
"Drieburg",NA,NA,NA
"Driehoekbuurt",57.7,57.7,57.7
"Duivelseiland",55.3,54.8,59.6
"Durgerdam",41.9,40.2,47
"E-buurt",59,59,59
"Ecowijk",53.7,53.2,56.2
"Eendrachtspark",63.2,64.8,47.9
"Elandsgrachtbuurt",57.2,56.8,58.9
"Elzenhagen Noord",54.4,54.2,56.2
"Elzenhagen Zuid",70.7,70.9,67.6
"Emanuel van Meterenbuurt",59.9,60.2,58.8
"Entrepot-Noordwest",60.2,60.6,58
"Erasmusparkbuurt Oost",55.5,54.7,62.1
"Erasmusparkbuurt West",55.4,54.5,64.9
"F-buurt",64.8,65.2,60.5
"Fannius Scholtenbuurt",60.5,60.1,64.1
"Felix Meritisbuurt",53.7,54.3,50.5
"Filips van Almondekwartier",55.2,54.2,64.8
"Flevopark",47.8,46.1,NA
"Frankendael",37.8,34.7,NA
"Frans Halsbuurt",57.9,57.8,58.8
"Frederik Hendrikbuurt Noord",56.7,56,61.1
"Frederik Hendrikbuurt Zuidoost",59.8,59.5,62.2
"Frederik Hendrikbuurt Zuidwest",56.1,54.8,60
"Frederikspleinbuurt",52.3,53.1,48.8
"G-buurt Noord",75.5,76,71.7
"G-buurt Oost",58.7,60.8,54.9
"G-buurt West",64.9,65.8,60.2
"Gaasperdam Noord",67.4,69,58.5
"Gaasperdam Zuid",68.6,69.5,65.6
"Gaasperpark",52.2,50.6,NA
"Gaasperplas",43.4,42.1,NA
"Gein Noordoost",49.7,51.5,45.4
"Gein Noordwest",68.7,69.1,67.1
"Gein Zuidoost",60.2,61.6,56.2
